rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表1-1-R001,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT",0,"ID3",79,"ID3 = evalDecimal(""((10**5)*province)+((10**3)*city)+(county*(10**1))+point"")"
表1-1-R002,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",162,"ID是否一致 = evalDecimal(""ID1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表1-1-R003,人员配备1,ROW_CHECK,"A121;A122;A123",2,"疾控部门人员配备",196,"人员配备1 = evalDecimal(""A121-A122-A123""); recode(人员配备1 -> 人员配备1); 人员配备1 = missing(人员配备1) || 人员配备1 != 0 ? 1 : 0"
表1-1-R004,人员配备2,ROW_CHECK,"A21;A22;A23",2,"疾控中心人员配备",193,"人员配备2 = evalDecimal(""A21-A22-A23""); recode(人员配备2 -> 人员配备2); 人员配备2 = missing(人员配备2) || 人员配备2 != 0 ? 1 : 0"
表1-1-R005,人员配备3,ROW_CHECK,"A221;A222;A223",2,"教育部门人员配备",159,"人员配备3 = evalDecimal(""A221-A222-A223""); recode(人员配备3 -> 人员配备3); 人员配备3 = missing(人员配备3) || 人员配备3 != 0 ? 1 : 0"
表1-1-R006,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表1-1-R007,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表1-1-R008,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",132,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表1-1-R009,学生常见病项目经费1,ROW_CHECK,"A131;A132;A133",6,"疾控部门学生常见病项目经费",437,"recode(A131 -> 学生常见病项目经费1); recode(A132 -> 学生常见病项目经费1); recode(A133 -> 学生常见病项目经费1); if evalCondition(""A131 >= A132 AND A131 >= A133"") then 学生常见病项目经费1 = 0; if evalCondition(""A131 < A132 OR A131 < A133"") then 学生常见病项目经费1 = 1; recode(学生常见病项目经费1 -> 学生常见病项目经费1); 学生常见病项目经费1 = missing(学生常见病项目经费1) || 学生常见病项目经费1 != 0 ? 1 : 0"
表1-1-R010,配套经费1,ROW_CHECK,"A134;A135",5,"疾控部门配套经费",336,"recode(A134 -> 配套经费1); recode(A135 -> 配套经费1); if evalCondition(""A134 >= A135"") then 配套经费1 = 0; if evalCondition(""A134 < A135"") then 配套经费1 = 1; recode(配套经费1 -> 配套经费1); 配套经费1 = missing(配套经费1) || 配套经费1 != 0 ? 1 : 0"
表1-1-R011,学生常见病项目经费2,ROW_CHECK,"A311;A312;A313",6,"疾控中心学生常见病项目经费",451,"recode(A311 -> 学生常见病项目经费2); recode(A312 -> 学生常见病项目经费2); recode(A313 -> 学生常见病项目经费2); if evalCondition(""A311 >= A312 AND A311 >= A313"") then 学生常见病项目经费2 = 0; if evalCondition(""A311 < A312 OR A311 < A313"") then 学生常见病项目经费2 = 1; recode(学生常见病项目经费2 -> 学生常见病项目经费2); 学生常见病项目经费2 = missing(学生常见病项目经费2) || 学生常见病项目经费2 != 0 ? 1 : 0"
表1-1-R012,业务经费3,ROW_CHECK,"A231;A232;A233",6,"教育部门业务经费业务经费",346,"recode(A231 -> 业务经费3); recode(A232 -> 业务经费3); recode(A233 -> 业务经费3); if evalCondition(""A231 >= A232 AND A231 >= A233"") then 业务经费3 = 0; if evalCondition(""A231< A232 AND A231 < A233"") then 业务经费3 = 1; recode(业务经费3 -> 业务经费3); 业务经费3 = missing(业务经费3) || 业务经费3 != 0 ? 1 : 0"
表1-1-R013,学校情况,ROW_CHECK,"A411;A4111;A4112;A4121;A4122;A4123;POINT",10,"区县学校情况",565,"recode(A411 -> 学校情况); recode(A4111 -> 学校情况); recode(A4112 -> 学校情况); recode(A4121 -> 学校情况); recode(A4122 -> 学校情况); recode(A4123 -> 学校情况); if evalCondition(""A411>= A4111 + A4112 AND A4111 >= A4121 AND A4112 >= A4123 AND A4111 >= A4122"") then 学校情况 = 0; if evalCondition(""A411 < A4111 + A4112 OR A4111 < A4121 OR A4112 < A4123 OR A4111 <  A4122"") then 学校情况 = 1; recode(学校情况 -> 学校情况); if evalCondition(""POINT=0"") then 学校情况 = 0; 学校情况 = missing(学校情况) || 学校情况 != 0 ? 1 : 0"
