rule_code,target_variable,rule_type,source_variables,step_count,label,spss_source_size,java_preview
表2-2-R001,age2,COMPUTE,"EXAMINE;BIRTH;DAYS",0,"age2",120,"age2 = evalDecimal(""DATEDIFF(EXAMINE,BIRTH,\""days\"")/365"")"
表2-2-R002,ID3,COMPUTE,"PROVINCE;CITY;COUNTY;POINT;SCHOOL;GRADE;NUM",0,"ID3",128,"ID3 = evalDecimal(""((10**13)*province)+((10**11)*city)+(county*(10**9))+(point*(10**8))+(school*(10**6))+(grade*(10**4))+num"")"
表2-2-R003,ID是否一致,ROW_CHECK,"ID1;ID3",2,"ID是否一致",162,"ID是否一致 = evalDecimal(""id1 - ID3""); recode(ID是否一致 -> ID是否一致); ID是否一致 = missing(ID是否一致) || ID是否一致 != 0 ? 1 : 0"
表2-2-R004,age,COMPUTE,"EXAMINE;BIRTH;YEARS",0,"age",206,"age = evalDecimal(""DATEDIF(EXAMINE, BIRTH, \""years\"")"")"
表2-2-R005,BMI,ROW_CHECK,"RND;Q7;Q6",1,"BMI",54,"BMI = evalDecimal(""RND(Q7 * 10000 / (Q6 * Q6),0""); BMI = missing(BMI) || BMI != 0 ? 1 : 0"
表2-2-R006,BPC,ROW_CHECK,"Q81;Q82",1,"脉压差",92,"BPC = evalDecimal(""Q81 - Q82""); BPC = missing(BPC) || BPC != 0 ? 1 : 0"
表2-2-R007,恒龋失补,ROW_CHECK,"Q54;Q55;Q56",1,"恒龋失补",25,"恒龋失补 = evalDecimal(""Q54+Q55+Q56""); 恒龋失补 = missing(恒龋失补) || 恒龋失补 != 0 ? 1 : 0"
表2-2-R008,地市编码缺失,ROW_CHECK,"CITY",1,"地市编码缺失",53,"recode(city -> 地市编码缺失); 地市编码缺失 = missing(地市编码缺失) || 地市编码缺失 != 0 ? 1 : 0"
表2-2-R009,县区编码缺失,ROW_CHECK,"COUNTY",1,"县区编码缺失",55,"recode(county -> 县区编码缺失); 县区编码缺失 = missing(县区编码缺失) || 县区编码缺失 != 0 ? 1 : 0"
表2-2-R010,城乡编码缺失或异常,ROW_CHECK,"POINT",1,"城乡编码缺失或异常",69,"recode(point -> 城乡编码缺失或异常); 城乡编码缺失或异常 = missing(城乡编码缺失或异常) || 城乡编码缺失或异常 != 0 ? 1 : 0"
表2-2-R011,学校编码缺失,ROW_CHECK,"SCHOOL",1,"学校编码缺失",55,"recode(school -> 学校编码缺失); 学校编码缺失 = missing(学校编码缺失) || 学校编码缺失 != 0 ? 1 : 0"
表2-2-R012,性别编码缺失或异常,ROW_CHECK,"GENDER",1,"性别编码缺失或异常",70,"recode(gender -> 性别编码缺失或异常); 性别编码缺失或异常 = missing(性别编码缺失或异常) || 性别编码缺失或异常 != 0 ? 1 : 0"
表2-2-R013,出生日期缺失,ROW_CHECK,"BIRTH",1,"出生日期缺失",54,"recode(birth -> 出生日期缺失); 出生日期缺失 = missing(出生日期缺失) || 出生日期缺失 != 0 ? 1 : 0"
表2-2-R014,检测日期缺失,ROW_CHECK,"EXAMINE",1,"检测日期缺失",73,"recode(examine -> 检测日期缺失); 检测日期缺失 = missing(检测日期缺失) || 检测日期缺失 != 0 ? 1 : 0"
表2-2-R015,年级编码缺失或异常,ROW_CHECK,"GRADE",1,"年级编码缺失或异常",175,"recode(grade -> 年级编码缺失或异常); 年级编码缺失或异常 = missing(年级编码缺失或异常) || 年级编码缺失或异常 != 0 ? 1 : 0"
表2-2-R016,年龄异常,ROW_CHECK,"AGE2",1,"年龄异常",111,"recode(age2 -> 年龄异常); 年龄异常 = missing(年龄异常) || 年龄异常 != 0 ? 1 : 0"
表2-2-R017,年龄可疑,ROW_CHECK,"AGE2;GRADE",17,"年龄可疑",1686,"recode(age2 -> 年龄可疑); if evalCondition(""grade = 2"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 3"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 4"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 5"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 6"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 11"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 12"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 13"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 14"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 21"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 22"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 23"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 31"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 32"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 33"") then { recode(age2 -> 年龄可疑) }; if evalCondition(""grade = 41 | grade=42 | grade=43"") then { recode(age2 -> 年龄可疑) }; 年龄可疑 = missing(年龄可疑) || 年龄可疑 != 0 ? 1 : 0"
表2-2-R018,近视可疑,ROW_CHECK,"VISIONR;VISIONL",2,"近视可疑",203,"recode(VISIONR -> 近视可疑); recode(VISIONL -> 近视可疑); 近视可疑 = missing(近视可疑) || 近视可疑 != 0 ? 1 : 0"
表2-2-R019,身高异常或缺失,ROW_CHECK,"Q6;GENDER;AGE",39,"身高异常或缺失",5413,"recode(Q6 -> 身高异常或缺失); if evalCondition(""gender = 1 & age = 6"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 7"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 8"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 9"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 10"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 11"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 12"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 13"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 14"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 15"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 16"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 17"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 18"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 19"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 20"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 21"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 22"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 23"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 1 & age = 24"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 6"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 7"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 8"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 9"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 10"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 11"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 12"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 13"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 14"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 15"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 16"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 17"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 18"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 19"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 20"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 21"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 22"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 23"") then { recode(Q6 -> 身高异常或缺失) }; if evalCondition(""gender = 2 & age = 24"") then { recode(Q6 -> 身高异常或缺失) }; 身高异常或缺失 = missing(身高异常或缺失) || 身高异常或缺失 != 0 ? 1 : 0"
表2-2-R020,体重异常或缺失,ROW_CHECK,"Q7;GENDER;AGE",39,"体重异常或缺失",5387,"recode(Q7 -> 体重异常或缺失); if evalCondition(""gender = 1 & age = 6"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 7"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 8"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 9"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 10"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 11"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 12"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 13"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 14"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 15"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 16"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 17"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 18"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 19"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 20"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 21"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 22"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 23"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 1 & age = 24"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 6"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 7"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 8"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 9"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 10"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 11"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 12"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 13"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 14"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 15"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 16"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 17"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 18"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 19"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 20"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 21"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 22"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 23"") then { recode(Q7 -> 体重异常或缺失) }; if evalCondition(""gender = 2 & age = 24"") then { recode(Q7 -> 体重异常或缺失) }; 体重异常或缺失 = missing(体重异常或缺失) || 体重异常或缺失 != 0 ? 1 : 0"
表2-2-R021,BMI异常或缺失,ROW_CHECK,"BMI",1,"BMI异常或缺失",117,"recode(BMI -> BMI异常或缺失); BMI异常或缺失 = missing(BMI异常或缺失) || BMI异常或缺失 != 0 ? 1 : 0"
表2-2-R022,腰围异常或缺失,ROW_CHECK,"Q09",1,"腰围异常或缺失",170,"recode(Q09 -> 腰围异常或缺失); 腰围异常或缺失 = missing(腰围异常或缺失) || 腰围异常或缺失 != 0 ? 1 : 0"
表2-2-R023,收缩压可疑,ROW_CHECK,"Q81",1,"收缩压可疑",71,"recode(Q81 -> 收缩压可疑); 收缩压可疑 = missing(收缩压可疑) || 收缩压可疑 != 0 ? 1 : 0"
表2-2-R024,舒张压可疑,ROW_CHECK,"Q82",1,"舒张压可疑",52,"recode(Q82 -> 舒张压可疑); 舒张压可疑 = missing(舒张压可疑) || 舒张压可疑 != 0 ? 1 : 0"
表2-2-R025,压差可疑,ROW_CHECK,"BPC;Q81;Q82",3,"压差可疑",360,"recode(BPC -> 压差可疑); if evalCondition(""Q81=999 AND Q82=999"") then 压差可疑 = 0; recode(压差可疑 -> 压差可疑); 压差可疑 = missing(压差可疑) || 压差可疑 != 0 ? 1 : 0"
表2-2-R026,恒龋可疑,ROW_CHECK,"恒龋失补;Q54;Q55;Q56",5,"恒龋可疑",368,"recode(恒龋失补 -> 恒龋可疑); recode(Q54 -> 恒龋可疑); recode(Q55 -> 恒龋可疑); recode(Q56 -> 恒龋可疑); if evalCondition(""Q54=99 AND Q55=99 AND Q56=99"") then 恒龋可疑 = 0; 恒龋可疑 = missing(恒龋可疑) || 恒龋可疑 != 0 ? 1 : 0"
